weapon,sub,sp
スクイックリンγ,キューバンボム,ジェットパック
シャープマーカー,ポイズンミスト,ジェットパック
スプラスコープコラボ,スプラッシュシールド,ボムピッチャー(キューバンボム)
ダイナモローラーテスラ,スプラッシュボム,インクアーマー
ボトルガイザーフォイル,スプラッシュボム,バブルランチャー
クーゲルシュライバー,ポイズンミスト,ジェットパック
.52ガロンベッチュー,スプラッシュシールド,ナイスダマ
スプラスピナーコラボ,カーリングボム,アメフラシ
.96ガロンデコ,スプラッシュシールド,スーパーチャクチ
スパッタリー,ジャンプビーコン,ボムピッチャー(キューバンボム)
ノヴァブラスターベッチュー,タンサンボム,アメフラシ
ノーチラス47,ポイントセンサー,イカスフィア
リッター4Kカスタム,ジャンプビーコン,バブルランチャー
シャープマーカーネオ,クイックボム,ボムピッチャー(キューバンボム)
L3リールガンベッチュー,スプラッシュシールド,ウルトラハンコ
ホットブラスターカスタム,ロボットボム,ジェットパック
ジェットスイーパーカスタム,クイックボム,ハイパープレッサー
ハイドラント,ロボットボム,スーパーチャクチ
ケルビン525ベッチュー,タンサンボム,インクアーマー
14式竹筒銃・丙,タンサンボム,バブルランチャー
ヴァリアブルローラーフォイル,キューバンボム,マルチミサイル
ソイチューバーカスタム,カーリングボム,ジェットパック
スプラスコープベッチュー,スプリンクラー,イカスフィア
プロモデラーRG,スプリンクラー,イカスフィア
キャンピングシェルターソレーラ,スプラッシュシールド,ボムピッチャー
クーゲルシュライバー・ヒュー,ジャンプビーコン,アメフラシ
H3リールガン,ポイントセンサー,マルチミサイル
スパッタリーヒュー,ポイズンミスト,アメフラシ
ダイナモローラーベッチュー,スプリンクラー,ナイスダマ
ハイドラントカスタム,トラップ,インクアーマー
スプラスピナーベッチュー,ポイズンミスト,ウルトラハンコ
プロモデラーPG,クイックボム,ナイスダマ
H3リールガンD,キューバンボム,インクアーマー
クラッシュブラスター,スプラッシュボム,ハイパープレッサー
クラッシュブラスターネオ,カーリングボム,マルチミサイル
4kスコープ,トラップ,アメフラシ
4Kスコープカスタム,ジャンプビーコン,バブルランチャー
ノーチラス79,キューバンボム,ジェットパック
H3リールガンチェリー,スプラッシュシールド,バブルランチャー
スパッタリークリア,トーピード,スーパーチャクチ
キャンピングシェルターカーモ,トラップ,ウルトラハンコ
ヒーローシューターレプリカ,クイックボム,スーパーチャクチ
ヒーローチャージャーレプリカ,スプラッシュボム,ハイパープレッサー
ヒーローローラーレプリカ,カーリングボム,スーパーチャクチ
ヒーローマニューバーレプリカ,クイックボム,マルチミサイル
ヒーロースロッシャーレプリカ,キューバンボム,マルチミサイル
ヒーローブラスターレプリカ,ポイズンミスト,スーパーチャクチ
ヒーロースピナーレプリカ,スプリンクラー,ハイパープレッサー
ヒーローシェルターレプリカ,スプリンクラー,アメフラシ
ヒーローブラシレプリカ,ロボットボム,ジェットパック
